label,area_um2,ecd_um,major_axis_um,minor_axis_um,aspect_ratio,eccentricity,solidity,centroid_row,centroid_col
3,0.8503,1.0405,1.4883,0.7806,1.9066,0.8514,0.8955,96,186
4,0.5811,0.8601,1.1468,0.6598,1.7381,0.8179,0.9111,99,202
5,0.1842,0.4843,0.4942,0.4942,1.0,0.0,1.0,119,208
6,0.9779,1.1158,1.309,1.0212,1.2817,0.6255,0.8734,121,191
7,0.5669,0.8496,0.9255,0.7986,1.1589,0.5054,0.9524,123,146
8,9.2545,3.4327,8.1203,1.5175,5.351,0.9824,0.9603,104,5
9,0.7228,0.9593,1.0978,0.8972,1.2236,0.5763,0.9808,126,197
10,1.6298,1.4405,1.8401,1.1764,1.5643,0.769,0.9274,135,199
11,0.7653,0.9871,1.1182,0.9214,1.2136,0.5666,0.9643,138,98
12,3.6139,2.1451,3.1498,1.5209,2.071,0.8757,0.9623,144,5
13,0.4252,0.7358,1.1327,0.4899,2.3124,0.9017,0.9375,143,98
14,1.0771,1.1711,1.9412,0.7993,2.4287,0.9113,0.8539,146,101
15,1.4881,1.3765,1.6523,1.1622,1.4217,0.7108,0.8974,167,113
16,2.8345,1.8997,2.4699,1.5246,1.62,0.7867,0.9662,165,5
17,0.7937,1.0052,1.5397,0.6701,2.2975,0.9003,0.9825,177,5
18,2.6219,1.8271,2.0521,1.6938,1.2116,0.5646,0.881,181,115
19,6.2642,2.8241,5.0581,1.6531,3.0598,0.9451,0.9651,197,5
20,2.9053,1.9233,2.7248,1.4171,1.9228,0.8541,0.9276,189,18
21,0.8503,1.0405,2.5409,0.4559,5.5732,0.9838,0.8824,188,30
22,1.5873,1.4216,2.9909,0.7045,4.2456,0.9719,0.9256,188,36
23,1.8141,1.5198,2.902,0.8473,3.4252,0.9564,0.9014,191,25
24,0.5669,0.8496,2.369,0.3367,7.0356,0.9898,0.8333,193,33
25,4.28,2.3344,2.9135,1.9524,1.4922,0.7422,0.935,193,45
26,0.8078,1.0142,2.1893,0.4811,4.5505,0.9756,0.9194,193,55
27,2.8345,1.8997,2.2601,1.661,1.3607,0.6781,0.9217,195,62
28,1.5164,1.3895,1.9165,1.0235,1.8724,0.8454,0.9469,194,73
29,3.3163,2.0549,2.5245,1.8143,1.3914,0.6953,0.8897,199,84
30,0.2976,0.6156,0.6463,0.5885,1.0981,0.4132,0.9545,207,95
31,3.8124,2.2032,2.5795,2.0312,1.2699,0.6164,0.8878,215,85
32,0.4677,0.7717,0.8421,0.731,1.152,0.4965,0.9706,211,100
33,0.1842,0.4843,0.4942,0.4942,1.0,0.0,1.0,214,196
34,14.0164,4.2245,5.8928,3.5869,1.6428,0.7934,0.8221,219,117
35,0.3827,0.698,0.7899,0.6079,1.2994,0.6386,1.0,225,203
36,4.4218,2.3728,3.0517,1.9315,1.58,0.7742,0.8814,228,137
37,2.8628,1.9092,2.6936,1.3919,1.9352,0.8561,0.9224,233,149
38,1.233,1.253,1.6503,1.0441,1.5806,0.7744,0.8878,233,194
39,0.6236,0.8911,1.1094,0.7854,1.4126,0.7063,0.88,231,202
40,5.7115,2.6967,4.9044,1.5433,3.1778,0.9492,0.9307,234,5
41,3.2171,2.0239,2.8351,1.6244,1.7453,0.8196,0.8195,236,163
42,0.6944,0.9403,1.0157,0.8857,1.1467,0.4894,0.9608,237,203
43,1.0771,1.1711,1.5758,0.9018,1.7474,0.8201,0.8941,235,183
44,0.2551,0.5699,0.5992,0.5499,1.0897,0.3974,1.0,237,28
45,0.4819,0.7833,0.8118,0.7667,1.0588,0.3287,0.9714,236,210
46,0.2268,0.5373,0.5784,0.5097,1.1346,0.4724,0.9412,237,35
47,0.7795,0.9962,1.2438,0.8545,1.4555,0.7266,0.8871,239,42
48,0.7228,0.9593,1.02,0.9138,1.1163,0.4444,0.9444,241,49
49,46.3152,7.6792,16.561,3.7537,4.4119,0.974,0.9232,192,229
50,0.2409,0.5539,0.7378,0.4305,1.714,0.8122,0.85,244,54
51,0.2126,0.5203,0.6513,0.4128,1.5777,0.7735,0.8824,245,57
52,0.1842,0.4843,0.4942,0.4942,1.0,0.0,1.0,246,86
53,0.7795,0.9962,1.0908,0.9509,1.1471,0.4899,0.873,246,63
54,1.1054,1.1864,1.4573,1.0749,1.3559,0.6753,0.907,249,71
